location,bhk,bathrooms,area_sqft,parking,furnishing,metro_distance_km,property_age,floor,total_floors,price
South Extension,4,1,1794,2,Semi-Furnished,11.81,6,19,29,15844201
Saket,5,4,3419,2,Semi-Furnished,0.8,1,12,17,19559090
Janakpuri,4,1,1684,1,Unfurnished,8.11,11,17,26,7692257
Noida,4,4,1475,2,Semi-Furnished,7.11,14,19,30,7317806
Rohini,4,4,2028,2,Unfurnished,12.97,6,9,15,9265563
South Extension,4,1,2863,1,Furnished,12.22,8,2,21,27219625
Laxmi Nagar,4,3,3999,0,Unfurnished,12.58,2,14,30,18995652
Saket,4,2,1521,1,Furnished,3.52,3,18,29,8839233
Karol Bagh,2,2,1495,1,Unfurnished,11.05,14,8,21,7083977
Saket,4,1,2843,0,Furnished,6.14,17,15,27,15179845
Pitampura,5,3,564,0,Semi-Furnished,14.81,0,12,19,2976238
Gurugram,3,3,3140,2,Unfurnished,11.96,4,10,16,27171689
Laxmi Nagar,1,4,2682,0,Semi-Furnished,9.54,1,1,16,14620338
Gurugram,5,3,3231,1,Unfurnished,13.36,0,3,7,27352632
Karol Bagh,3,1,1528,1,Semi-Furnished,3.92,13,7,15,8495906
Vasant Kunj,2,2,3439,0,Semi-Furnished,3.42,6,17,36,33813280
Saket,4,2,3032,2,Furnished,9.26,14,11,14,16656786
Karol Bagh,3,3,3657,1,Unfurnished,9.55,5,12,23,17263783
Vasant Kunj,3,4,2029,2,Furnished,13.49,6,1,1,19537098
Rohini,3,2,3180,0,Semi-Furnished,12.98,6,6,13,15957518
Dwarka,1,2,3796,2,Unfurnished,4.41,14,9,28,18507870
Karol Bagh,1,2,1063,1,Unfurnished,10.6,2,17,21,5415479
Karol Bagh,1,3,2660,1,Unfurnished,7.79,4,1,1,12977942
Laxmi Nagar,2,1,2207,1,Unfurnished,14.79,3,11,27,10499841
Karol Bagh,5,4,697,1,Furnished,8.27,15,16,16,3596172
Karol Bagh,4,3,3897,0,Unfurnished,12.95,3,19,21,18629095
